Previous Taught Course,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,Instructor Name,Current Taught Course,Mean Overall Rating of Instruction,Mean Overall Rating of Course,Mean How Much Learned,Mean Effectiveness of Intellectual Challenge,Mean Effectiveness of Stimulating Interest,Mean Average Hours Spent Per Week,Prev Was Seminar?
HISTORY_103-8_26,0.032,0.715,0.252,0.9996,0.007758500054,0.03490646929,0.9573350549,Paul Gillingham,A Beginner's Guide to Forgery,4.92,4.62,5,4.38,5.31,3.769230769,TRUE
FRENCH_210-0_20,0.065,0.726,0.209,0.9986,0.05452802032,0.2134089619,0.732063055,Ty Blakeney,A History of Heterosexuality,3.83,3.67,3.5,3.83,3.33,4.916666667,FALSE
LEGAL_ST_101-8_1,0.042,0.718,0.24,0.9997,0.2874026,0.3916539848,0.320943445,Jesse Yeh,American Outlaw: Writings about Living and Being Outside the Law,5.08,4.79,4.71,4.14,5.08,4.428571429,TRUE
CHEM_105-8_06,0.008,0.811,0.181,0.9979,0.002062132349,0.01799331605,0.9799445868,Kevin Hunter,An analysis of color across science and culture,5.82,5.64,4.36,3.73,5.45,3,TRUE
ENGLISH_105-8_20,0.014,0.721,0.265,0.9993,0.002446588362,0.01204917487,0.98550421,Meaghan Fritz,Bon Appetit! Mastering the Art of Composition,5.64,5.57,5.21,4.54,5.43,4.357142857,TRUE
GNDR_ST_101-8_2,0.07,0.755,0.175,0.9973,0.1780831665,0.2672241628,0.5546926856,Amy Partridge,Coalition politics from Chicago and Beyond,3.55,3.73,4.27,4.09,3.36,4.136363636,TRUE
ENGLISH_101-8_20,0.008,0.593,0.399,0.9999,0.002591540804,0.0184081085,0.9790003896,Laura MacKay Hansen,Coming of Age in Literature and Film,5.46,5.62,4.23,4.23,5.54,4.269230769,TRUE
ART_HIST_101-6_1,0.021,0.756,0.223,0.9987,0.00223374879,0.01389351767,0.9838727117,Alicia Caticha,Empires of Fashion: from Marie Antoinette to Meghan Markle,5.36,5.1,5.45,5.09,5.55,4.136363636,TRUE
CLASSICS_101-8_1,0.055,0.67,0.275,0.9994,0.04992318526,0.1985673159,0.7515095472,Germán Campos-Muñoz,Endless Exile: Homelessness in the Ancient Mediterranean,4.7,4.3,4.1,4.4,4.4,5.772727273,TRUE
ASTRON_331-0_1,0.042,0.79,0.168,0.9919,0.004232830834,0.02611573786,0.9696514606,Vicky Kalogera,"Exploring AI: Shaping the Future in Science, Society, and Critical Thinking",5.2,5.4,4.6,3.6,5.2,3.5,FALSE
GERMAN_337-0_1,0.086,0.771,0.143,0.9451,0.006926004309,0.04671099037,0.9463629723,Jorg Kreienbrock,"Fetish Theory: Colonialism, Political Economy, Sexuality",5.6,5.6,5.8,5.6,5.6,3,FALSE
"Studies in French Philosophy,Topics",0.073,0.683,0.243,0.9983,0.03894647583,0.1631392539,0.797914207,PHIL_315-0_20,"Gender, Politics, and Reproduction",5.5,5.33,5.5,5.67,5.83,7.5,FALSE
